POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
16;93;Classified;17;46:12.357;+14.782;+0.424;9;2:31.169;130.3;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
17;5;Classified;17;46:13.888;+16.313;+1.531;9;2:30.848;130.6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
18;03;Classified;17;46:19.358;+21.783;+5.470;9;2:32.070;129.5;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
19;86;Classified;17;46:22.746;+25.171;+3.388;6;2:33.294;128.5;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
20;80;Classified;17;46:24.644;+27.069;+1.898;15;2:32.369;129.3;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
21;57;Classified;17;46:28.369;+30.794;+3.725;8;2:33.619;128.2;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
22;8;Classified;17;46:29.807;+32.232;+1.438;16;2:33.790;128.1;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
23;18;Classified;17;46:39.967;+42.392;+10.160;16;2:33.543;128.3;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
24;73;Classified;17;46:40.393;+42.818;+0.426;10;2:32.063;129.5;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra;;;USA;;;;;;;
25;113;Classified;17;46:53.651;+56.076;+13.258;10;2:29.926;131.4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
26;89;Classified;17;46:55.429;+57.854;+1.778;6;2:29.744;131.5;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
27;51;Classified;14;40:55.584;3 Laps;3 Laps;8;2:33.568;128.3;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
28;31;Classified;13;46:14.818;4 Laps;1 Lap;13;2:30.244;131.1;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
29;11;Classified;10;26:50.082;7 Laps;3 Laps;10;2:31.702;129.8;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
30;15;Classified;6;20:28.905;11 Laps;4 Laps;3;2:31.899;129.7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
31;2;Classified;1;3:52.412;16 Laps;5 Laps;0;;;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
