POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP_NAME;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
12;51;Classified;17;47:19.327;+19.899;+1.622;9;2:33.144;153.1;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;;;;;;;;
13;58;Classified;17;47:19.478;+20.050;+0.151;9;2:32.823;153.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jack;Murchison;;;;;;;;;;
14;03;Classified;17;47:19.753;+20.325;+0.275;14;2:32.938;153.3;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;;;;;;;;
15;21;Classified;17;47:21.734;+22.306;+1.981;10;2:32.559;153.7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;;;;;;;;
16;41;Classified;17;47:22.441;+23.013;+0.707;3;2:32.488;153.8;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;;;;;;;;
17;89;Classified;17;47:23.807;+24.379;+1.366;8;2:33.389;152.9;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;;;;;;;;
18;5;Classified;17;47:25.144;+25.716;+1.337;13;2:33.245;153.0;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;;;;;;;;
19;11;Classified;17;47:37.623;+38.195;+12.479;7;2:34.521;151.8;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;;;;;;;;
20;80;Classified;17;47:45.574;+46.146;+7.951;12;2:34.693;151.6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;;;;;;;;
21;86;Classified;17;47:45.873;+46.445;+0.299;12;2:35.415;150.9;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;;;;;;;;
22;8;Classified;17;47:57.155;+57.727;+11.282;9;2:35.651;150.7;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;;;;;;;;
23;12;Classified;17;48:20.904;+1:21.476;+23.749;9;2:36.008;150.3;BSI Racing;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;;;;;;;;
24;57;Classified;17;48:41.998;+1:42.570;+21.094;9;2:39.213;147.3;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;;;;;;;;
25;18;Classified;17;48:46.106;+1:46.678;+4.108;10;2:40.540;146.1;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;;;;;;;;
26;71;Classified;3;7:44.523;14 Laps;14 Laps;2;2:32.776;153.5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;;;;;;;;
27;22;Classified;2;5:08.569;15 Laps;1 Lap;2;2:32.467;153.8;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;;;;;;;;
;15;Not started;0;;;;0;;;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;;;;;;;;
