POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP_NAME;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
11;78;Classified;17;46:52.270;+13.183;+1.164;6;2:29.284;132.0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
12;98;Classified;17;46:52.305;+13.218;+0.035;6;2:29.087;132.1;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
13;88;Classified;17;46:52.709;+13.622;+0.404;6;2:29.389;131.9;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
14;5;Classified;17;46:54.157;+15.070;+1.448;6;2:29.848;131.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
15;113;Classified;17;46:54.504;+15.417;+0.347;4;2:30.586;130.8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
16;15;Classified;17;46:54.699;+15.612;+0.195;3;2:29.400;131.8;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
17;89;Classified;17;46:54.955;+15.868;+0.256;6;2:29.614;131.7;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
18;31;Classified;17;46:56.980;+17.893;+2.025;6;2:29.354;131.9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
19;03;Classified;17;46:59.072;+19.985;+2.092;6;2:30.516;130.9;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
20;73;Classified;17;46:59.801;+20.714;+0.729;16;2:31.237;130.2;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra;;;USA;;;;;;;
21;51;Classified;17;47:01.097;+22.010;+1.296;2;2:30.931;130.5;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
22;11;Classified;17;47:03.182;+24.095;+2.085;10;2:31.501;130.0;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
23;86;Classified;17;47:03.909;+24.822;+0.727;11;2:31.889;129.7;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
24;57;Classified;17;47:04.828;+25.741;+0.919;10;2:32.766;128.9;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
25;8;Classified;17;47:15.531;+36.444;+10.703;3;2:33.233;128.6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
26;14;Classified;16;44:23.376;1 Lap;1 Lap;3;2:29.906;131.4;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
27;93;Classified;16;44:23.921;1 Lap;+0.545;3;2:30.060;131.3;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
28;3;Classified;16;44:24.134;1 Lap;+0.213;6;2:30.691;130.7;Eagles Canyon Racing Powered by Fast Track;Am;Legends ;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
29;2;Classified;14;39:55.160;3 Laps;2 Laps;2;2:28.609;132.6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
30;18;Classified;11;29:44.713;6 Laps;3 Laps;5;2:31.905;129.7;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
31;80;Classified;10;29:57.681;7 Laps;1 Lap;5;2:31.506;130.0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
